Replacement,Original
January,january
February,february
April,april
June,june
July,july
August,august
September,september
October,october
November,november
December,december
rows,rose
colour,color
behaviour,behavior
favourite,favorite
MySQL,my sequel
SQL,sequel
cache,cash
add,ad
